departure_airport,arrival_airport,airlines,aircraft_types
Tulsa International Airport,Chicago O'Hare International Airport,Zantop International Airlines;XP Internation;SAM Colombia,Canadair Regional Jet 700;Boeing 737-800
Tulsa International Airport,Dallas Fort Worth International Airport,Zantop International Airlines;SAM Colombia,Boeing 737-800;McDonnell Douglas MD-83;Boeing 757
Tulsa International Airport,Dallas Love Field,Air Cudlua,Boeing 737-500
Tulsa International Airport,Denver International Airport,XP Internation,Canadair Regional Jet 700
Tulsa International Airport,Detroit Metropolitan Wayne County Airport,Star Aviation,Canadair Regional Jet 700
Tulsa International Airport,George Bush Intercontinental Houston Airport,XP Internation,Canadair Regional Jet 700
Tulsa International Airport,Hartsfield Jackson Atlanta International Airport,Star Aviation;Sham Wing Airlines;Thai Flying Helicopter Service;Wind Rose Aviation,Canadair Regional Jet 900;Canadair Regional Jet 700;McDonnell Douglas MD-88
Tulsa International Airport,Miami International Airport,Zantop International Airlines;SAM Colombia,Boeing 737-800
Tulsa International Airport,Orlando Sanford International Airport,Sark International Airways,Airbus A320
Tulsa International Airport,Salt Lake City International Airport,Star Aviation,Canadair Regional Jet 700
Tulsa International Airport,Washington Dulles International Airport,XP Internation,Canadair Regional Jet 700
Tumling Tar Airport,Tribhuvan International Airport,Tomsk-Avia,British Aerospace Jetstream 41
Tunis Carthage International Airport,Adolfo Suarez Madrid Barajas Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Amsterdam Airport Schiphol,Wings Air Transport,Boeing 737-600;Airbus A319
Tunis Carthage International Airport,Barcelona International Airport,Wings Air Transport,Airbus A319;Airbus A320
Tunis Carthage International Airport,Beirut Rafic Hariri International Airport,Transpac Express;Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Belgrade Nikola Tesla Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Benina International Airport,Taxis Turisticos Marakame;Royal Bahrain Airlines;Wings Air Transport,Canadair Regional Jet 900;Airbus A319;Airbus A320
Tunis Carthage International Airport,Bologna Guglielmo Marconi Airport,Wings Air Transport,Airbus A319;Airbus A320
Tunis Carthage International Airport,Bordeaux-Merignac Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Brussels Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Cairo International Airport,Egyptair,Boeing 737-800;Airbus A320
Tunis Carthage International Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Skyjet;Star XL German Airlines,Airbus A319;Airbus A321;Airbus A320
Tunis Carthage International Airport,Cologne Bonn Airport,Waddington FTU,Airbus A319
Tunis Carthage International Airport,Djerba Zarzis International Airport,Yak-Service,Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Dubai International Airport,Swift Air (Interstate Equipment Leasing);Wings Air Transport,Boeing 777-300;Airbus A319
Tunis Carthage International Airport,Dusseldorf Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Es Senia Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Falcone Borsellino Airport,Wings Air Transport,Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Frankfurt am Main Airport,Eagle Canyon Airlines;Wings Air Transport,Airbus A319;Airbus A320
Tunis Carthage International Airport,Gabes Matmata International Airport,Yak-Service,Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Gafsa Ksar International Airport,Yak-Service,Aerospatiale/Alenia ATR 42-600;Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Gamal Abdel Nasser Airport,Taxis Turisticos Marakame;Wings Air Transport,Canadair Regional Jet 900;Airbus A320
Tunis Carthage International Airport,Gardabya Airport,Taxis Turisticos Marakame,Canadair Regional Jet 900
Tunis Carthage International Airport,Hamad International Airport,Universal Jet,Airbus A320
Tunis Carthage International Airport,Houari Boumediene Airport,Swiss Air-Ambulance;Wings Air Transport,Boeing 737-600;Airbus A320
Tunis Carthage International Airport,Istanbul Airport,White;Wings Air Transport,Boeing 737-800;Boeing 737-900;Airbus A320;Airbus A321;Boeing 737-600
Tunis Carthage International Airport,King Abdulaziz International Airport,Walter I Linkoping;Wings Air Transport,Airbus A330-300;Airbus A320
Tunis Carthage International Airport,Kuwait International Airport,Wings Air Transport,Airbus A319
Tunis Carthage International Airport,La Abraq Airport,Taxis Turisticos Marakame,Canadair Regional Jet 900;Airbus A320
Tunis Carthage International Airport,Leonardo da Vinci Fiumicino Airport,Sunbird Airlines;Wings Air Transport,Embraer 190;Embraer 175;Airbus A319;Airbus A320
Tunis Carthage International Airport,Leopold Sedar Senghor International Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Lyon Saint-Exupery Airport,Skyjet;Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Malpensa International Airport,Sunbird Airlines;Wings Air Transport,Airbus A319;Airbus A320
Tunis Carthage International Airport,Malta International Airport,Yak-Service,Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Marseille Provence Airport,Sham Wing Airlines;Wings Air Transport,Boeing 737-600;Airbus A319;Airbus A320
Tunis Carthage International Airport,Mohammed V International Airport,Wings Air Transport;Seacoast Airlines,Boeing 737-800;Airbus A319;Boeing 737-700;Airbus A320
Tunis Carthage International Airport,Monastir Habib Bourguiba International Airport,Yak-Service;Skyjet,Canadair Regional Jet 900;Airbus A320
Tunis Carthage International Airport,Munich Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Nantes Atlantique Airport,Skyjet;Wings Air Transport,Boeing 737-600;Airbus A320
Tunis Carthage International Airport,Naples International Airport,Yak-Service,Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Nice-Cote d'Azur Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Nouakchott Oumtounsy International Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Ouagadougou Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Paris-Orly Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Port Bouet Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Prince Mohammad Bin Abdulaziz Airport,Wings Air Transport,Airbus A320
Tunis Carthage International Airport,Queen Alia International Airport,Vega Air Company,Embraer 195;Embraer 175;Airbus A319
Tunis Carthage International Airport,Sfax Thyna International Airport,Yak-Service,Canadair Regional Jet 900
Tunis Carthage International Airport,Strasbourg Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Toulouse-Blagnac Airport,Wings Air Transport,Boeing 737-600
Tunis Carthage International Airport,Tozeur Nefta International Airport,Yak-Service,Aerospatiale/Alenia ATR 72
Tunis Carthage International Airport,Tripoli International Airport,Star XL German Airlines;Taxis Turisticos Marakame;Royal Bahrain Airlines;Wings Air Transport,Canadair Regional Jet 900;Airbus A319;Airbus A320
Tunis Carthage International Airport,Venice Marco Polo Airport,Wings Air Transport,Airbus A319
Tunis Carthage International Airport,Zurich Airport,Wings Air Transport,Boeing 737-600;Airbus A320
Tunoshna Airport,Pulkovo Airport,Rivne Universal Avia,Canadair Regional Jet 200
Tunxi International Airport,Beijing Capital International Airport,Sheremetyevo-Cargo;AtlasGlobal Ukraine,Boeing 737-800;Boeing 737
Tunxi International Airport,Changsha Huanghua International Airport,Servicos De Alquiler,Airbus A320
Tunxi International Airport,Chengdu Shuangliu International Airport,South Coast Aviation;Tramson Limited,Boeing 737
Tunxi International Airport,Chongqing Jiangbei International Airport,South Coast Aviation;Tramson Limited,Boeing 737
Tunxi International Airport,Gimhae International Airport,Top Sky International,Airbus A320
Tunxi International Airport,Guangzhou Baiyun International Airport,Servicos De Alquiler,Airbus A320
Tunxi International Airport,Haikou Meilan International Airport,Servicios Aereos Profesionales,Embraer 190
Tunxi International Airport,Hefei Luogang International Airport,Tramson Limited,Airbus A320
Tunxi International Airport,Incheon International Airport,Top Sky International,Airbus A320
Tunxi International Airport,Liuting Airport,Servicos De Alquiler,Airbus A320
Tunxi International Airport,Shanghai Hongqiao International Airport,South Coast Aviation;Tramson Limited,Boeing 737
Tunxi International Airport,Shenzhen Bao'an International Airport,Servicos De Alquiler,Airbus A319
Tunxi International Airport,Taiwan Taoyuan International Airport,Safe Air,McDonnell Douglas MD-90
Tunxi International Airport,Taiyuan Wusu Airport,Taxis Aereos De Parral;Servicos De Alquiler,Boeing 737
Tunxi International Airport,Tianjin Binhai International Airport,Servicios Aereos Profesionales,Embraer 190
Tunxi International Airport,Xi'an Xianyang International Airport,Sector Airlines,Airbus A319
Tunxi International Airport,Xiamen Gaoqi International Airport,Taxis Aereos De Parral;Servicos De Alquiler;Sector Airlines,Airbus A319;Boeing 737
Tunxi International Airport,Zhoushuizi Airport,Servicos De Alquiler,Airbus A320
Tupelo Regional Airport,Hartsfield Jackson Atlanta International Airport,Qatar Amiri Flight,Saab SF340A/B
Tupelo Regional Airport,Mid Delta Regional Airport,Qatar Amiri Flight,Saab SF340A/B
Turaif Domestic Airport,King Khaled International Airport,Walter I Linkoping,Embraer 170
Turbat International Airport,Dalbandin Airport,Transaven,Aerospatiale/Alenia ATR 42-600
Turbat International Airport,Gwadar International Airport,Transaven,Aerospatiale/Alenia ATR 42-600
Turbat International Airport,Jinnah International Airport,Transaven,Aerospatiale/Alenia ATR 42-600
Turbat International Airport,Muscat International Airport,Transaven,Aerospatiale/Alenia ATR 42-600
Turbat International Airport,Quetta International Airport,Transaven,Aerospatiale/Alenia ATR 42-600
Turbat International Airport,Sharjah International Airport,Transaven,Aerospatiale/Alenia ATR 42-600
Turin Airport,Adolfo Suarez Madrid Barajas Airport,Sunshine Air Tours,Canadair Regional Jet 900;Canadair Regional Jet 1000
Turin Airport,Alghero-Fertilia Airport,Sunbird Airlines,Airbus A319
Turin Airport,Barcelona International Airport,Sky Wings Airlines;Grand China Air;Sunshine Air Tours,Boeing 737-800;Airbus A320
Turin Airport,Bari Karol Wojtyla Airport,Sky Wings Airlines;Sunbird Airlines,Boeing 737-800;Airbus A319
Turin Airport,Brindisi Salento Airport,Sky Wings Airlines,Boeing 737-800
Turin Airport,Brussels Airport,Volga Aviaexpress;XP Internation,De Havilland Canada DHC-8-400 Dash 8Q
Turin Airport,Brussels South Charleroi Airport,Sky Wings Airlines,Boeing 737-800
Turin Airport,Catania-Fontanarossa Airport,Southern Airways;Sky Wings Airlines;Sunbird Airlines;Saint Barth Commuter,Boeing 737-800;Boeing 737;Airbus A320
Turin Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Sunbird Airlines,Embraer 190;Avro RJ85;Embraer 170
Turin Airport,Falcone Borsellino Airport,Dan-Air London;Sunbird Airlines;Saint Barth Commuter,Boeing 717;Airbus A320
Turin Airport,Frankfurt am Main Airport,Eagle Canyon Airlines,Boeing 737-500;Embraer 190;Canadair Regional Jet 700
Turin Airport,Iasi Airport,VIM-Aviaservice;Sunbird Airlines,Boeing 737-300
Turin Airport,Istanbul Airport,White,Boeing 737-800;Airbus A319;Airbus A320
Turin Airport,Lamezia Terme Airport,Sunbird Airlines;Saint Barth Commuter,Airbus A320
Turin Airport,Leonardo da Vinci Fiumicino Airport,Southern Right Air Charter;Sunbird Airlines,Embraer 175;Airbus A319;Boeing 737;Airbus A320
Turin Airport,London Gatwick Airport,Skydrift,Boeing 737-400;Airbus A319;Airbus A320
Turin Airport,London Stansted Airport,Sky Wings Airlines,Boeing 737-800
Turin Airport,Malta International Airport,Sky Wings Airlines,Boeing 737-800
Turin Airport,Mohammed V International Airport,Seacoast Airlines,Boeing 737-800;Boeing 737-700
Turin Airport,Munich Airport,Eagle Canyon Airlines,Embraer 195
Turin Airport,Naples International Airport,Southern Airways;Sunbird Airlines,Embraer 175;Airbus A319;Boeing 737
Turin Airport,Reggio Calabria Airport,Sunbird Airlines,Airbus A319
Turin Airport,Tirana International Airport Mother Teresa,Sunbird Airlines,Airbus A320
Turin Airport,Vincenzo Florio Airport Trapani-Birgi,Sky Wings Airlines,Boeing 737-800
Turin Airport,Zurich Airport,Spectrem Air,Saab 2000
Turku Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP,Canadair Regional Jet 900;Canadair Regional Jet 200
Turku Airport,Gdansk Lech Walesa Airport,Finlandian,Airbus A320
Turku Airport,Helsinki Vantaa Airport,Servicios Aereos de Chihuahua Aerochisa,Aerospatiale/Alenia ATR 42-600;Aerospatiale/Alenia ATR 72
Turku Airport,Mariehamn Airport,Professional Express Courier Service,Saab SF340A/B
Turku Airport,Riga International Airport,Skyfreight,De Havilland Canada DHC-8-400 Dash 8Q
Turku Airport,Stockholm-Arlanda Airport,Western Aviators;Vuelos Internos Privados VIP,Saab 2000;Aerospatiale/Alenia ATR 72
Turukhansk Airport,Yemelyanovo Airport,Taunus Air Gmbh,Aerospatiale/Alenia ATR 42-500
Tuzla International Airport,Gothenburg City Airport,Finlandian,Airbus A320
Tuzla International Airport,Malmoe Sturup Airport,Finlandian,Airbus A320
Tweed New Haven Airport,Philadelphia International Airport,SAM Colombia,De Havilland Canada DHC-8-300 Dash 8
Tyler Pounds Regional Airport,Dallas Fort Worth International Airport,Zantop International Airlines;SAM Colombia,Embraer RJ145;Embraer RJ140
U-Tapao International Airport,Phuket International Airport,Trans Asian Airlines,Aerospatiale/Alenia ATR 72
U-Tapao International Airport,Samui Airport,Trans Asian Airlines,Aerospatiale/Alenia ATR 72
Ua Huka Airport,Hiva Oa-Atuona Airport,Sevenair,De Havilland Canada DHC-6 Twin Otter
Ua Huka Airport,Nuku Hiva Airport,Sevenair,De Havilland Canada DHC-6 Twin Otter
Ua Huka Airport,Ua Pou Airport,Sevenair,De Havilland Canada DHC-6 Twin Otter
Ua Pou Airport,Hiva Oa-Atuona Airport,Sevenair,De Havilland Canada DHC-6 Twin Otter
Ua Pou Airport,Nuku Hiva Airport,Sevenair,De Havilland Canada DHC-6 Twin Otter;Aerospatiale/Alenia ATR 42-600
Ua Pou Airport,Ua Huka Airport,Sevenair,De Havilland Canada DHC-6 Twin Otter
Ubon Ratchathani Airport,Don Mueang International Airport,Severstal;Shuangyang General Aviation,Boeing 737-800;Airbus A320
Udon Thani Airport,Chiang Mai International Airport,Severstal,Boeing 737-800
Udon Thani Airport,Don Mueang International Airport,Severstal;Shuangyang General Aviation,Boeing 737-800;Airbus A320
Udon Thani Airport,Phuket International Airport,Shuangyang General Aviation,Airbus A320
Udon Thani Airport,Suvarnabhumi Airport,Trans Asian Airlines,Airbus A319;Airbus A320
Ufa International Airport,Domodedovo International Airport,Worldwide Jet Charter;Golden Myanmar Airlines;Vertical-T Air Company;Z-Avia,Boeing 737-500;Canadair Regional Jet 200;Airbus A319;Airbus A320
Ufa International Airport,Dushanbe Airport,Worldwide Jet Charter,Airbus A320
Ufa International Airport,Heydar Aliyev International Airport,Taunus Air Gmbh,Boeing 737-800
Ufa International Airport,Istanbul Airport,White,Airbus A319
Ufa International Airport,Kazan International Airport,Zanair,Aerospatiale/Alenia ATR 72
Ufa International Airport,Khudzhand Airport,Worldwide Jet Charter,Airbus A320
Ufa International Airport,Koltsovo Airport,Rivne Universal Avia,Embraer EMB 120 Brasilia
Ufa International Airport,Nadym Airport,Golden Myanmar Airlines,Canadair Regional Jet 200
Ufa International Airport,Norilsk-Alykel Airport,Taunus Air Gmbh,Boeing 737-800
Ufa International Airport,Novy Urengoy Airport,Golden Myanmar Airlines;Cranwell Flying Training Unit,Canadair Regional Jet 200;Tupolev Tu-154
Ufa International Airport,Noyabrsk Airport,Golden Myanmar Airlines,Canadair Regional Jet 200
Ufa International Airport,Pulkovo Airport,Walsten Air Services,Antonov An-148;Airbus A319
Ufa International Airport,Roshchino International Airport,Zanair,Aerospatiale/Alenia ATR 72
Ufa International Airport,Sharjah International Airport,Sky Limo Corporation,Airbus A320
Ufa International Airport,Sheremetyevo International Airport,Walsten Air Services,Airbus A319;Airbus A320
Ufa International Airport,Surgut Airport,Zanair,Aerospatiale/Alenia ATR 72
Ufa International Airport,Tashkent International Airport,Servizi Aerei,Airbus A320
Ufa International Airport,Vaclav Havel Airport Prague,Tradewind Aviation,Airbus A319;Airbus A320
Ugolny Airport,Domodedovo International Airport,Z-Avia,Boeing 777-200
Ukhta Airport,Pulkovo Airport,Searca,Canadair Regional Jet 200
Ukhta Airport,Syktyvkar Airport,Zanair,Antonov AN-24
Ukhta Airport,Usinsk Airport,Zanair,Antonov AN-24
Ukhta Airport,Vnukovo International Airport,Cranwell Flying Training Unit,Yakovlev Yak-42
Ulaangom Airport,Chinggis Khaan International Airport,South West Air,De Havilland Canada DHC-8-400 Dash 8Q
Ulan-Ude Airport (Mukhino),Beijing Capital International Airport,Vertical-T Air Company,Boeing 737-800
Ulan-Ude Airport (Mukhino),Chita-Kadala Airport,Taunus Air Gmbh,Aerospatiale/Alenia ATR 42-500
Ulan-Ude Airport (Mukhino),Domodedovo International Airport,Worldwide Jet Charter;Vertical-T Air Company,Airbus A319
